uf_busca,cidade_busca,nome,grau,turno,mensalidade,bolsa_integral_cotas,bolsa_integral_ampla,bolsa_parcial_cotas,bolsa_parcial_ampla,nota_integral_ampla,nota_integral_cotas,nota_parcial_ampla,nota_parcial_cotas
CE,Acarau,Administração,Bacharelado,Curso a Distância,269.00,3,1,0,0,611.66,583.88,0,0
CE,Aracati,Administração,Bacharelado,Noturno,570.00,2,1,0,0,666.40,597.98,0,0
CE,Aracati,Administração,Bacharelado,Matutino,444.00,1,1,0,0,626.60,632.52,0,0
CE,Baturite,Administração,Bacharelado,Curso a Distância,402.65,1,0,0,0,597.02,0,0,0
CE,Camocim,Administração,Bacharelado,Curso a Distância,229.00,3,1,0,0,592.50,586.50,0,0
CE,Caninde,Administração,Bacharelado,Curso a Distância,259.00,3,1,0,0,589.60,577.64,0,0
CE,Caucaia,Administração,Bacharelado,Matutino,715.00,0,0,0,50,0,0,498.60,0
CE,Caucaia,Administração,Bacharelado,Noturno,715.00,0,0,0,50,0,0,526.08,0
CE,Caucaia,Administração,Bacharelado,Curso a Distância,229.00,1,1,0,0,585.26,593.48,0,0
CE,Fortaleza,Administração,Bacharelado,Curso a Distância,422.80,2,1,0,0,622.24,624.34,0,0
CE,Fortaleza,Administração,Bacharelado,Matutino,1133.40,4,2,0,0,641.14,631.90,0,0
CE,Fortaleza,Administração,Bacharelado,Noturno,1133.40,4,2,0,0,653.98,635.16,0,0
CE,Fortaleza,Administração,Bacharelado,Curso a Distância,422.80,3,2,0,0,627.04,575.40,0,0
CE,Fortaleza,Administração,Bacharelado,Curso a Distância,422.80,2,1,0,0,624.48,582.18,0,0
CE,Fortaleza,Administração,Bacharelado,Matutino,684.29,3,2,0,0,632.34,631.72,0,0
CE,Fortaleza,Administração,Bacharelado,Vespertino,627.14,3,1,0,0,643.88,625.60,0,0
CE,Fortaleza,Administração,Bacharelado,Matutino,741.43,1,0,0,0,634.10,0,0,0
CE,Fortaleza,Administração,Bacharelado,Noturno,1125.00,0,2,0,0,644.42,0,0,0
CE,Fortaleza,Administração,Bacharelado,Curso a Distância,298.00,0,0,1,0,0,0,588.98,0
CE,Fortaleza,Administração,Bacharelado,Noturno,1125.00,1,0,1,1,643.64,0,587.62,605.24
CE,Fortaleza,Administração,Bacharelado,Matutino,1125.00,1,1,1,1,649.52,632.00,642.78,583.34
CE,Fortaleza,Administração,Bacharelado,Noturno,1125.00,1,1,1,1,644.24,623.08,599.86,573.16
CE,Fortaleza,Administração,Bacharelado,Matutino,541.50,1,0,8,4,622.20,0,588.62,581.52
CE,Fortaleza,Administração,Bacharelado,Curso a Distância,347.72,1,0,1,0,585.96,0,599.94,0
CE,Fortaleza,Administração,Bacharelado,Noturno,627.00,1,0,1,1,624.78,0,582.54,590.02
CE,Fortaleza,Administração,Bacharelado,Noturno,522.54,1,0,6,3,663.72,0,578.12,575.62
CE,Fortaleza,Administração,Bacharelado,Matutino,503.59,1,0,2,1,611.76,0,584.40,595.50
CE,Fortaleza,Administração,Bacharelado,Noturno,517.34,3,2,0,0,615.32,615.90,0,0
CE,Fortaleza,Administração,Bacharelado,Noturno,517.34,2,1,0,0,632.20,618.08,0,0
CE,Fortaleza,Administração,Bacharelado,Noturno,715.00,0,0,0,70,0,0,504.08,0
CE,Fortaleza,Administração,Bacharelado,Noturno,580.00,0,0,0,74,0,0,520.46,0
CE,Fortaleza,Administração,Bacharelado,Matutino,1200.00,0,0,0,1,0,0,532.76,0
CE,Fortaleza,Administração,Bacharelado,Noturno,1200.00,0,0,0,1,0,0,563.18,0
CE,Fortaleza,Administração,Bacharelado,Curso a Distância,325.00,0,0,1,0,0,0,560.44,0
CE,Fortaleza,Administração,Bacharelado,Matutino,706.55,3,1,0,5,617.28,607.34,498.42,0
CE,Fortaleza,Administração,Bacharelado,Vespertino,706.55,3,1,0,5,599.80,600.70,450.00,0
CE,Fortaleza,Administração,Bacharelado,Noturno,706.55,3,1,0,5,631.06,609.62,519.96,0
CE,Fortaleza,Administração,Bacharelado,Noturno,606.90,1,1,1,1,624.44,632.34,597.60,573.06
CE,Fortaleza,Administração,Bacharelado,Matutino,627.00,0,0,3,2,0,0,595.80,604.84
CE,Fortaleza,Administração,Bacharelado,Matutino,1152.70,0,0,0,60,0,0,450.00,0
